address;raw_amount;assets
0x0bf34484963766bf1d6bd0a15fe7ec6f72f3bd32;31589769;31.589769
0x0c0c0f538c1d869a9682d94d26fb973f1a8c192e;75400;0.075400
0x0c0cd5dfbc0330361332ae05daad2e61c82d3dcb;0;0.000000
0x0c11e4ec69f679e3ea07c4ab6190d51b1db4606b;773072;0.773072
0x0c78de29710ac96027c282d6523c799d507af29c;7573;0.007573
0x0c85efae064c672b8551268141996641660e72f9;0;0.000000
0x0ca78ed9f48dfc2dbbff9e1d55227e52359776f0;0;0.000000
0x0cb1bc9c2a357ffc3627fa8e1cd7cf6ff74f6edb;0;0.000000
0x0d11c704be32a6a296bc5d0a18f707c22be01ba4;0;0.000000
0x0d3015631c1e642e8eb35b5a0efcea24a7685603;373315;0.373315
0x0d35a8215963e0b6ba791d6d01f58edc1e7ac3ab;0;0.000000
0x0d7720df68cfc04534d02c2669e51652b0e77791;0;0.000000
0x0d9a29106954c0473a140c7e570e99e8e40798c9;0;0.000000
0x0dddab17d0ee1416a757758fe4dce96ee8df211c;76708;0.076708
0x0de012fcf1387507be8e0a66010fbe19a65068eb;0;0.000000
0x0de3f84782427380c6588a9dca8675a5c40893cb;114444;0.114444
0x0dffa0d8f5e3b7ed53b9d11c3789da2be46758ea;0;0.000000
0x0e243e5c925c27503f73de66df52894a2e37c34e;73291056;73.291056
0x0e76fc601fb5a670e2a492196074b29da6b403c2;0;0.000000
0x0e8164f7e45691b075959ce0b7d6385a2fafd52c;759391;0.759391
0x0e8a00ae00a153a087bccd1b89efcc78209b3ab8;0;0.000000
0x0edd6eced51b0f0ee830d891ba230ac39ff6f5b3;0;0.000000
0x0f28143ba5c106eb5c41f0035f9bc5be91687bba;0;0.000000
0x0f3c3349f89f11ca4035b0cce3027e9cc5fc0d55;0;0.000000
0x0f45156f109e474295913d78036fa213b1745d5a;0;0.000000
0x0f8aac1cffcb3cc43bd0b6cc0df1b0db7d0c864b;0;0.000000
0x0fc587968c33acda9a16c5fa6e66258ff8aa2f61;0;0.000000
0x0fe7626cb34088b17d5c50c66bd64fa84ddbbc3b;738915;0.738915
0x10054d39aa173807d3f23427923e1b44f5dc3290;0;0.000000
0x10665b2afe28721b8ce08037242de16dadab7cfa;0;0.000000
0x107b361c2a0be597f3d3da6f869fe14b56b08766;0;0.000000
0x1087fb0e3e32d7abbf4e63d35c6b21ce5f2b0480;0;0.000000
0x10a28fb144bc79eda79194e818323dd9c3217016;33419065;33.419065
0x10b9e4f3248676f78fa0592237d7b01accd395c6;753673;0.753673
0x10ba44df917fbbc67f3b5e7fd6320707b66000a6;0;0.000000
0x1116bf593285d11207e5c3ec0166388c3f877850;7569176;7.569176
0x111bb2f8ed05d7dd75de1ffd8ffc67f7bbb801c4;1517;0.001517
0x11475691c2caa465e19f99c445abb31a4a64955c;0;0.000000
0x114fbabe33e8735a6466b7bc72ff35c2d67f9aea;165401814;165.401814
0x115589ccdbcace5d473111ea3d01a3eb279dd8c5;0;0.000000
0x118cea94840d065c1a8652a62504d3d0486f6cdb;3754870;3.754870
0x11b1d404d3506515e01ba027549d821946806717;755928;0.755928
0x11c128b5ae504e26a19a4f8ea22c5212bb0d4e59;1596681;1.596681
0x11d25c03afed099883bd68dcaf22b1ee4f93c8e4;82022;0.082022
0x11ec86d9ae83c4f513c87aa2153542faff1f31cc;0;0.000000
0x120623e790cc17e47848a2dce36df7a2346ba095;0;0.000000
0x1206e9bf28eae56b9144f8d74d3accb4f566b0b2;0;0.000000
0x122edefc9a3a02f4f7c4caf41ad29d9c900d0528;723179;0.723179
0x123235cd749ccab2b466da88a07e66089f79bfb4;0;0.000000
0x1263fc2489454deca07ac376b0d399ee66469d79;0;0.000000
0x126ff8fabec84ef8a96f25dd0c2668fb9b7e7088;0;0.000000
0x12990834aa3c237a2ee7002c4a122ea14bc94904;4446396;4.446396
0x12c31853922c7d7e0019a27132c82ed6955d276d;0;0.000000
0x136831c6c1ec98cdc354362c4a61e1295030a43c;834567;0.834567
0x1368eb291511cfa4b2396421c9dca60895f6bd66;0;0.000000
0x136d4b342d415d5cf2fed3fb8af15d7d4efd4849;0;0.000000
0x1390b026d99ee7689fecb697daabd02bc6a8dd3c;755665;0.755665
0x13dd4c65252274a442428039ae815f3a13e84ff3;0;0.000000
0x13e86c4a4bf6af09b2f1a50d012594780b001985;0;0.000000
0x14222b3a5929f990a10a6cefd7777dde06ba1a50;757123;0.757123
0x143effc8e32016fed17673e0a4b42319500a6fe3;0;0.000000
0x1483ff30b8d52534f0c811bf52a3deb31c89cf2a;0;0.000000
0x14b606b509fbac1b71967d0c21d3085ce82ab9fe;0;0.000000
0x14d55c1bc548e0f195322d7cb3a5101227ecc71a;82155;0.082155
0x14fba64b72464c7acd950f8fab6a712a4e61690b;0;0.000000
0x1537f50886d87dfb1916446e971cf57f41d874b7;0;0.000000
