address,raw_amount,Amount sent
0x747a0ac18a7b4920f3c1d5f65e691012007d6855,39791222,39.7912
0x50ee92281d92615ac1a44869b48d87eb3d95d2f4,39564301,39.5643
0x8ff5a472fa9f04476eae98cb58b8d004bfed6eb0,39286228,39.2862
0x49ef092fb6bbeadb8217827b036b3affd6f03f1f,39280791,39.2807
0x1f80ad29759dff3133f49b077b920290552eee83,39270008,39.27
0xf516a98e053e5699c2539bf49e500f4b4a67279a,39259602,39.2596
0xa1b5a7024a702aa9cdab3a5058ac8176648a3959,37971708,37.9717
0xc77376888e950a300c6b97c62a30537bfde91742,37874418,37.8744
0xb772a176e367245b7a22c171688b3cde545e8a60,37105851,37.1058
0x8ffada29cc553655313ac823ce414429ddfc08c7,36202963,36.2029
0xf02efdda609c880f71d451d25dfb757a0afc9c1a,35325322,35.3253
0x7e8d8f5a721770ad17d4d2765c244f7f93b65de8,35306010,35.306
0xf76aca814f3c5a2055243bc3fb12838e7a67aae8,35187828,35.1878
0xcc6b666c46c7d5d0cfbfdbf2940b60eb09c59306,34624171,34.6241
0x1cd6e22a6fec56ebab5a2b15566d9eb4c0de9f94,34415142,34.4151
0x019425b418ff167d62f23324a6fa5fa0023760de,32304517,32.3045
0xa914c5963e118d087339b0550c95d085e38cbd99,30700670,30.7006
0x262557c8228758ecb6253caa5ba52568f079ce97,28393605,28.3936
0x3f73ccb6be932bd607393de5328088dd4f6b6746,28290165,28.2901
0xfb17d5cd85854b6bee89e714591de521f3169de5,27710093,27.71
0xb766349a2dafdb97b74cc1a23bc6ce5fe80ec8c0,27035080,27.035
0x8c8b134a68967c6faaa7bb0b9ea15ea06fc83b98,26294376,26.2943
0x756c89f08dde3b06be2ad09bafa57468169879ca,25994129,25.9941
0x2c2b8f9f3a157fa07c6be4bbb1aa4314c1080834,24812043,24.812
0x1bc13c62af7443a482f5db8727c486f8267a3693,24602950,24.6029
0x860c757c524590fa1d39e3e9565025d2b481b7ae,21775797,21.7757
0xa6c446b86d2b12a6bf1927260ad8030bd374283b,21597117,21.5971
0xb9088314df59465d610209121d34fd299df85e8a,21227336,21.2273
0xf30ceadfb6fb8e7b8fa844eda5daa197561ca741,21150185,21.1501
0xbee3d63539911929c671e6c39d1be5a0eaaaa6c7,20578132,20.5781
0xcbbd16f2ec1a5dde71d41f7c0eb74f3c1fca4c95,20313358,20.3133
0xd9243f96a94d7087c863ff87f879b991d8c41e53,20027859,20.0278
0x066dbd864bcdb1ec9944293736a9ae2c514d4a91,19990989,19.9909
0xcfab6c15847886c9e1ce179cf6908a63858b1363,19899775,19.8997
0xd84f88ac551b65ffd3007fc536b02c9b643e983d,19876607,19.8766
0x8d1e63b5ca6c2c163a720c2644adfe89c5dd4dd9,19826477,19.8264
0x0e243e5c925c27503f73de66df52894a2e37c34e,19802598,19.8025
0x3fa24e34c6331e5b90e26f69fba39247d468eaec,19639710,19.6397
0x5c4d6626440448ca778ae2c94908c02592149cf8,19614494,19.6144
0x403aa65f7f1e2d4b3bf3ec94343b3b1a1ab9341a,19569233,19.5692
0x2a99721c251d2fd3584a0be06544a8c3b65de45b,19541112,19.5411
0x979afe5a5126347fc045aca07c651c8d9141fe98,19501430,19.5014
0xf7b68b15c52d4ee5380f6dc8c5281fe10c9c410d,19347403,19.3474
0xbea1bb2346ff1c9942120586df31ebf98d880284,19336728,19.3367
0xba9b8e4355bd706e88be4cfd856f8088aa6ddc72,19105732,19.1057
